,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
63,-170.0,150,58.82352941,150.0,0,False,3,1,0,0,3.44,0.41,1.7,1.16,1.0,2,1,5,0,0,0,0,0,2,0,2,1,175.26,172.72,125,0,1,0,4.24,0.48,1.1,1.26,0.38,3,3,24,0,0,1,2,2,2,0,7,0,165.1,170.18,125,31,29,1,-1,-1,-5,-2,-19,0,-2,0,10.16,2.54,-2,-0.8,0.6,-0.1,0,165.0,350.0,450.0,600.0,400.0,700.0
79,-200.0,170,50.0,170.0,0,False,3,0,1,0,4.12,0.52,1.2,1.19,1.0,1,1,3,0,0,0,0,1,1,0,2,1,170.18,185.42,125,2,0,0,3.71,0.47,0.0,0.86,0.28,0,2,6,0,0,0,0,0,0,0,0,1,165.1,172.72,125,27,29,-2,1,1,2,-1,-3,0,1,1,5.08,12.7,2,0.41,1.2,0.33,2,240.0,350.0,1000.0,1200.0,140.0,650.0
90,-140.0,120,71.42857143,120.0,1,False,3,2,0,0,3.54,0.39,0.5,0.0,0.0,0,2,4,0,0,0,0,0,0,0,0,1,165.1,165.1,125,2,0,0,2.88,0.39,0.4,0.28,0.22,1,5,20,0,0,1,0,2,0,0,3,0,165.1,172.72,125,31,29,0,0,-1,-3,-3,-16,0,-2,0,0.0,-7.62,-2,0.66,0.1,-0.28,2,180.0,250.0,900.0,1000.0,350.0,400.0
111,-310.0,245,32.25806452,245.0,1,False,3,2,0,0,2.4,0.46,0.0,1.47,0.18,0,2,2,0,0,0,0,0,0,0,0,2,170.18,180.34,125,0,1,0,1.9,0.58,0.0,3.0,0.75,1,0,3,0,0,0,1,0,0,0,1,1,167.64,172.72,135,31,31,2,-1,-1,-1,2,-1,0,0,0,2.54,7.62,0,0.5,0.0,-1.53,2,275.0,550.0,450.0,800.0,120.0,1200.0
124,-315.0,240,31.74603175,240.0,0,False,3,3,0,0,3.21,0.33,0.0,0.0,0.0,1,3,9,0,0,0,1,0,0,0,1,1,177.8,182.88,125,2,0,0,4.21,0.49,0.5,1.4,0.21,0,2,6,0,0,0,0,0,0,0,0,2,162.56,167.64,125,32,26,1,0,1,1,1,3,0,0,0,15.24,15.24,-6,-1.0,-0.5,-1.4,2,-125.0,500.0,700.0,800.0,350.0,1000.0
150,-195.0,150,51.28205128,150.0,1,True,5,0,3,2,3.44,0.39,0.8,2.05,0.47,3,2,29,1,0,1,2,1,2,0,6,0,170.18,177.8,125,0,5,1,3.24,0.56,2.1,1.54,0.52,5,1,25,3,0,1,1,4,3,0,9,0,165.1,172.72,125,33,27,0,-2,-2,-3,1,4,-2,-3,-1,5.08,5.08,-6,0.2,-1.3,0.51,0,300.0,300.0,550.0,1100.0,170.0,600.0
183,-355.0,295,28.16901408,295.0,0,False,3,1,0,0,1.59,0.37,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,2,165.1,170.18,125,0,1,0,2.98,0.46,0.0,2.89,0.31,1,2,11,0,0,0,0,1,0,0,1,0,162.56,165.1,125,31,28,1,-1,-1,-1,-1,-10,0,-1,0,2.54,5.08,-3,-1.39,0.0,-2.89,2,250.0,600.0,300.0,1400.0,1000.0,725.0
273,115.0,-135,115.0,74.07407407,0,False,3,0,1,0,2.66,0.45,2.2,2.22,0.5,1,1,3,0,0,0,0,0,1,0,1,0,165.1,170.18,125,2,0,0,2.98,0.46,0.0,2.89,0.31,0,2,9,0,0,0,0,0,0,0,0,0,162.56,165.1,125,31,24,-2,1,1,1,-1,-6,0,0,1,2.54,5.08,-7,-0.32,2.2,-0.67,2,275.0,180.0,700.0,400.0,550.0,575.0
277,-130.0,110,76.92307692,110.0,1,False,3,1,0,0,3.79,0.52,1.4,1.93,0.44,3,1,10,0,0,1,1,0,1,0,3,0,167.64,167.64,125,1,0,0,3.67,0.45,0.0,1.0,0.28,0,1,3,0,0,0,0,0,0,0,0,1,165.1,172.72,125,27,28,0,0,3,3,0,7,0,0,1,2.54,-5.08,1,0.12,1.4,0.93,2,250.0,250.0,1400.0,500.0,250.0,600.0
292,125.0,-145,125.0,68.96551724,1,False,3,0,2,1,3.37,0.55,0.0,2.75,0.28,2,0,9,0,0,0,2,0,0,0,2,0,167.64,170.18,125,2,0,0,3.52,0.34,0.6,1.41,0.3,6,7,68,3,0,1,10,6,4,0,21,1,162.56,165.1,125,36,28,-2,2,-4,-19,-7,-59,-3,-6,-4,5.08,5.08,-8,-0.15,-0.6,1.34,0,200.0,180.0,600.0,800.0,500.0,600.0
294,-155.0,135,64.51612903,135.0,0,False,3,1,0,0,4.22,0.52,0.2,0.75,0.28,3,3,15,0,0,0,2,1,1,0,4,0,167.64,175.26,125,0,1,0,3.35,0.45,1.1,4.01,0.49,2,9,36,1,0,0,4,0,1,0,5,1,170.18,167.64,125,34,31,1,-1,1,-1,-6,-21,-1,1,0,-2.54,7.62,-3,0.87,-0.9,-3.26,0,235.0,170.0,300.0,675.0,1200.0,525.0
332,-125.0,100,80.0,100.0,0,False,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,165.1,172.72,125,1,0,0,4.2,0.47,1.1,1.08,0.36,3,3,21,0,0,1,1,2,2,0,6,0,165.1,170.18,125,30,27,-1,0,-3,-6,-3,-21,0,-2,-2,0.0,2.54,-3,-4.2,-1.1,-1.08,0,400.0,300.0,225.0,1600.0,600.0,225.0
347,-106.0,-118,94.33962264,84.74576271,0,False,3,1,0,0,4.4,0.55,0.0,2.0,0.18,0,1,3,0,0,0,0,0,0,0,0,2,162.56,167.64,125,0,1,0,2.55,0.42,3.2,3.19,1.0,1,0,1,0,0,0,0,0,1,0,1,0,165.1,172.72,125,27,32,1,-1,-1,-1,1,2,0,0,-1,-2.54,-5.08,5,1.85,-3.2,-1.19,0,190.0,160.0,425.0,1000.0,800.0,675.0
352,105.0,-130,105.0,76.92307692,0,False,3,0,2,0,3.55,0.32,0.0,0.0,0.0,2,2,9,0,0,0,0,2,0,0,2,0,170.18,172.72,125,1,0,0,3.73,0.35,1.6,0.64,0.33,4,3,11,0,0,1,1,0,2,0,4,0,172.72,177.8,125,31,37,-1,2,-2,-2,-1,-2,0,2,-2,-2.54,-5.08,6,-0.18,-1.6,-0.64,0,225.0,400.0,500.0,2000.0,750.0,125.0
356,-400.0,300,25.0,300.0,0,False,3,1,0,0,3.75,0.33,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,165.1,165.1,125,0,2,0,5.25,0.58,1.3,0.66,1.0,2,1,6,0,0,0,1,1,0,0,2,1,172.72,182.88,125,25,28,1,-2,-2,-2,0,-5,0,-1,0,-7.62,-17.78,3,-1.5,-1.3,-0.66,2,300.0,700.0,1400.0,1400.0,-185.0,900.0
382,-157.0,137,63.69426752,137.0,0,False,3,1,0,1,3.11,0.48,0.8,3.28,0.26,0,1,0,0,0,0,0,0,0,0,0,1,170.18,170.18,125,0,2,0,1.99,0.58,7.2,1.81,0.5,2,0,0,0,0,0,0,0,0,0,2,0,170.18,172.72,125,30,29,1,-2,-2,-2,1,0,0,0,0,0.0,-2.54,-1,1.12,-6.4,1.47,2,475.0,400.0,125.0,1000.0,1000.0,300.0
409,-335.0,250,29.85074627,250.0,0,False,3,1,0,0,0.64,0.18,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,2,170.18,180.34,125,0,1,0,5.02,0.59,1.4,0.68,1.0,1,1,5,0,0,0,1,0,0,0,1,1,172.72,182.88,125,24,30,1,-1,-1,-1,0,-4,0,0,0,-2.54,-2.54,6,-4.38,-1.4,-0.68,2,440.0,600.0,500.0,525.0,-110.0,1600.0
411,-286.0,225,34.96503497,225.0,0,False,5,0,3,0,4.68,0.47,1.4,3.03,0.5,4,1,13,0,0,0,2,2,3,0,7,0,167.64,165.1,125,0,4,0,2.8,0.55,2.9,1.71,0.5,4,1,19,1,0,1,1,4,2,0,8,0,165.1,172.72,125,32,28,0,-1,0,-1,0,-6,-1,-2,1,2.54,-7.62,-4,1.88,-1.5,1.32,0,700.0,500.0,300.0,1400.0,-135.0,550.0
416,-190.0,150,52.63157895,150.0,0,False,3,0,2,0,3.9,0.52,3.2,1.06,1.0,2,0,4,0,0,0,0,0,2,0,2,1,175.26,172.72,125,0,2,1,3.0,0.34,0.5,1.75,0.4,3,2,23,0,0,1,2,0,2,0,5,0,170.18,177.8,125,26,28,0,0,-1,-3,-2,-19,0,0,0,5.08,-5.08,2,0.9,2.7,-0.69,0,130.0,575.0,675.0,300.0,450.0,900.0
487,321.0,-455,321.0,21.97802198,1,False,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,167.64,125,2,0,0,2.32,0.44,0.0,2.68,0.22,0,2,6,0,0,0,0,0,0,0,0,0,162.56,165.1,125,30,30,-2,0,0,0,-2,-6,0,0,0,5.08,2.54,0,-2.32,0.0,-2.68,2,525.0,115.0,1400.0,215.0,1000.0,900.0
500,-240.0,188,41.66666667,188.0,1,False,3,0,1,0,1.93,0.48,3.6,1.81,1.0,1,0,2,0,0,0,0,0,1,0,1,1,175.26,172.72,125,0,1,0,5.27,0.38,0.0,0.6,0.25,3,1,15,0,0,1,3,0,0,0,4,0,162.56,175.26,125,27,28,0,0,-2,-3,-1,-13,0,0,1,12.7,-2.54,1,-3.34,3.6,1.21,0,-110.0,750.0,1325.0,350.0,500.0,1085.0
514,-112.0,-112,89.28571429,89.28571429,1,False,3,0,1,0,4.47,0.5,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,0,165.1,172.72,125,0,1,0,5.49,0.6,0.3,1.19,0.3,1,2,8,0,0,0,2,0,0,0,2,0,167.64,175.26,125,30,28,0,0,0,-1,-2,-5,0,0,0,-2.54,-2.54,-2,-1.02,-0.3,-1.19,0,160.0,190.0,950.0,550.0,950.0,700.0
604,-225.0,180,44.44444444,180.0,0,True,5,1,0,0,3.53,0.34,0.6,1.5,0.3,6,6,67,4,0,1,10,6,4,0,21,1,162.56,165.1,125,0,3,0,2.54,0.52,2.4,1.81,0.5,4,1,18,1,0,1,1,4,1,0,7,0,165.1,172.72,125,32,35,1,-3,2,14,5,49,3,2,3,-2.54,-7.62,3,0.99,-1.8,-0.31,0,400.0,300.0,600.0,900.0,-115.0,600.0
608,-210.0,165,47.61904762,165.0,1,False,3,0,1,1,3.43,0.48,0.0,2.0,0.22,1,0,6,0,0,0,1,0,0,0,1,0,167.64,170.18,125,0,1,0,4.58,0.47,1.3,1.1,0.35,3,2,18,0,0,1,1,2,2,0,6,0,165.1,170.18,125,30,27,0,0,-2,-5,-2,-12,0,-2,-2,2.54,0.0,-3,-1.15,-1.3,0.9,2,125.0,250.0,600.0,950.0,400.0,1000.0
613,135.0,-167,135.0,59.88023952,1,False,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,165.1,172.72,125,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,170.18,180.34,125,30,26,0,0,0,0,0,0,0,0,0,-5.08,-7.62,-4,0.0,0.0,0.0,2,400.0,230.0,500.0,350.0,700.0,350.0
617,-141.0,112,80.0,100.0,0,False,3,1,0,0,2.8,0.4,0.2,0.2,0.16,1,4,17,0,0,1,0,2,0,0,3,0,165.1,172.72,125,3,0,0,3.41,0.46,1.2,4.31,0.55,2,9,33,1,0,0,3,0,1,0,4,1,170.18,167.64,125,33,30,-2,0,-1,-1,-5,-16,-1,2,-1,-5.08,5.08,-3,-0.61,-1.0,-4.11,0,160.0,275.0,300.0,700.0,1000.0,350.0
682,115.0,-135,115.0,74.07407407,1,False,3,0,2,0,4.48,0.47,1.5,3.27,0.5,3,1,11,0,0,0,2,1,2,0,5,0,167.64,165.1,125,2,0,0,1.35,0.39,0.6,1.87,0.35,4,6,37,0,0,0,6,0,3,0,9,0,165.1,170.18,125,35,28,-2,2,-1,-4,-5,-26,0,1,-1,2.54,-5.08,-7,3.13,0.9,1.4,0,175.0,225.0,580.0,1350.0,2500.0,305.0
693,-162.0,142,61.72839506,142.0,1,False,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,175.26,172.72,125,2,0,0,3.49,0.46,1.2,4.14,0.57,2,8,31,1,0,0,3,0,1,0,4,1,170.18,167.64,125,33,27,-2,0,-2,-4,-8,-31,-1,0,-1,5.08,5.08,-6,-3.49,-1.2,-4.14,0,165.0,510.0,450.0,325.0,625.0,750.0
734,-150.0,140,66.66666667,140.0,1,False,3,0,1,1,3.12,0.34,0.6,2.02,0.43,3,2,20,0,0,1,1,0,2,0,4,0,170.18,177.8,125,1,0,0,1.38,0.38,0.6,1.95,0.39,4,5,34,0,0,0,6,0,3,0,9,0,165.1,170.18,125,34,26,1,1,-1,-5,3,-14,0,0,-1,5.08,7.62,8,1.74,0.0,0.07,0,105.0,230.0,500.0,1200.0,1600.0,650.0
