,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
14,-380.0,290,26.315789473684212,290.0,0,False,3,0,1,0,2.8,0.46,0.0,0.0,0.0,4,2,18,0,0,0,0,6,0,0,6,0,187.96,198.12,242,1,0,0,3.44,0.51,0.0,6.27,0.53,5,3,32,0,0,0,4,5,0,0,9,0,193.04,203.2,265,30,33,-1,1,-1,-3,-1,-14,0,1,0,-5.079999999999983,-5.079999999999983,3,-0.6400000000000001,0.0,-6.27,0,180.0,1000.0,1000.0,3500.0,125.0,380.0
18,180.0,-220,180.0,45.45454545454545,1,False,3,0,3,0,9.03,0.53,0.0,0.0,0.0,3,0,3,0,0,0,0,3,0,0,3,0,190.5,193.04,250,1,0,0,2.53,0.43,0.2,1.14,0.24,3,3,19,0,0,1,2,2,0,0,5,0,190.5,193.04,235,40,32,-1,3,0,-2,-3,-16,0,1,0,0.0,0.0,-8,6.5,-0.2,-1.14,0,400.0,350.0,1800.0,1400.0,450.0,100.0
38,-240.0,195,41.66666666666667,195.0,0,False,3,0,3,0,3.71,0.49,0.2,2.72,0.57,3,2,14,0,1,0,1,1,1,0,4,0,190.5,198.12,260,0,3,0,7.19,0.65,1.4,2.73,1.0,3,0,4,0,0,0,0,2,1,0,3,0,195.58,198.12,256,28,26,0,0,0,1,2,10,0,-1,0,-5.0800000000000125,0.0,-2,-3.4800000000000004,-1.2,-0.0099999999999997,0,400.0,550.0,500.0,800.0,120.0,550.0
60,170.0,-200,170.0,50.0,0,False,3,1,0,0,6.24,0.45,0.0,0.0,0.0,2,6,22,0,0,0,1,2,0,0,3,0,193.04,198.12,250,0,1,0,8.48,0.51,0.7,1.42,0.3,1,1,4,0,0,0,1,0,0,0,1,0,182.88,190.5,265,36,31,1,-1,1,2,5,18,0,2,0,10.16,7.62,-5,-2.24,-0.7,-1.42,2,450.0,300.0,900.0,1600.0,500.0,120.0
70,250.0,-320,250.0,31.25,1,True,5,0,6,0,5.37,0.57,0.3,0.71,0.2,6,0,19,0,0,0,3,1,2,0,6,0,193.04,205.74,245,0,4,0,2.49,0.5,0.0,0.49,0.25,6,5,48,1,0,2,2,12,0,0,16,0,190.5,200.66,260,36,31,0,2,0,-10,-5,-29,-1,-11,2,2.54,5.08,-5,2.88,0.3,0.22,0,1400.0,215.0,2200.0,600.0,330.0,120.0
112,310.0,-410,310.0,24.390243899999998,1,False,3,1,0,0,5.46,0.57,1.7,1.71,0.4,2,1,4,0,0,0,0,0,2,0,2,0,187.96,203.2,246,1,0,0,7.81,0.61,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,190.5,200.66,243,33,28,0,0,2,2,0,3,0,0,2,-2.54,2.54,-5,-2.35,1.7,1.71,2,1000.0,500.0,1800.0,-125.0,500.0,400.0
115,-130.0,105,76.92307692,105.0,0,False,3,1,0,0,4.84,0.5,0.0,0.2,0.33,2,3,19,0,0,0,1,5,0,0,6,0,195.58,203.2,265,0,2,0,4.48,0.5,0.0,0.0,0.0,3,3,14,0,0,0,1,4,0,0,5,1,187.96,190.5,264,28,32,1,-2,-1,1,0,5,0,1,0,7.62,12.7,4,0.36,0.0,0.2,2,350.0,350.0,1600.0,1800.0,160.0,265.0
125,-155.0,125,64.51612903,125.0,0,False,5,0,2,0,4.88,0.59,0.2,0.66,0.7,4,2,28,0,0,1,2,4,0,0,7,0,200.66,203.2,250,0,5,0,5.04,0.55,0.5,1.13,0.26,5,0,14,0,0,0,2,1,2,0,5,0,193.04,205.74,245,31,32,0,-3,-1,2,2,14,0,3,-2,7.62,-2.54,1,-0.16,-0.3,-0.47,0,188.0,300.0,700.0,375.0,275.0,1600.0
126,-195.0,153,51.28205128,153.0,0,False,3,1,0,0,2.68,0.46,0.6,1.19,0.4,5,11,69,1,1,0,4,9,5,0,19,1,190.5,203.2,205,2,0,0,4.21,0.52,0.0,0.0,0.0,2,3,15,0,0,0,1,2,0,0,3,0,187.96,190.5,255,29,38,-1,0,3,16,8,54,1,7,5,2.54,12.7,9,-1.53,0.6,1.19,2,175.0,250.0,1800.0,350.0,700.0,500.0
146,-155.0,120,64.51612903,120.0,0,False,3,2,0,0,3.28,0.53,0.4,0.38,0.5,0,2,5,0,0,0,0,0,0,0,0,0,177.8,182.88,250,1,0,0,6.53,0.5,0.4,0.43,0.14,2,1,5,0,0,0,0,2,0,0,2,0,193.04,200.66,265,31,35,1,0,-2,-2,1,0,0,-2,0,-15.24,-17.78,4,-3.25,0.0,-0.05,2,275.0,325.0,1400.0,1400.0,235.0,275.0
