,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
0,-150.0,130,66.66666666666666,130.0,0,False,5,0,1,0,3.42,0.59,0.7,0.24,1.0,4,2,11,0,0,0,1,4,0,0,5,0,198.12,208.28,205,3,0,0,3.95,0.48,0.1,0.61,0.36,4,8,43,1,0,0,2,11,0,0,13,0,187.96,193.04,205,37,29,-3,1,0,-8,-6,-32,-1,-7,0,10.159999999999997,15.240000000000007,-8,-0.5300000000000002,0.6,-0.37,0,800.0,900.0,2000.0,1600.0,-110.0,175.0
24,-150.0,130,66.66666666666666,130.0,0,False,5,0,1,0,3.43,0.44,1.6,1.58,0.38,5,2,13,0,0,1,1,2,2,0,6,0,195.58,200.66,205,0,2,0,3.03,0.47,0.8,0.46,0.28,3,8,47,1,0,0,1,7,4,0,12,0,193.04,193.04,205,33,30,0,-1,2,-6,-6,-34,-1,-5,-2,2.5400000000000205,7.620000000000003,-3,0.4000000000000003,0.8,1.12,0,450.0,750.0,330.0,500.0,225.0,330.0
25,-170.0,150,58.82352941176471,150.0,0,False,3,1,0,0,3.13,0.56,0.1,2.51,0.34,2,5,25,0,0,0,6,0,0,0,6,0,182.88,190.5,205,2,0,1,4.91,0.42,0.0,4.39,0.6,2,5,19,0,0,0,1,3,0,0,4,1,185.42,190.5,205,27,31,-1,0,0,2,0,6,0,-3,0,-2.5400000000000205,0.0,4,-1.7800000000000002,0.1,-1.88,2,600.0,250.0,1800.0,1400.0,-110.0,650.0
30,105.0,-125,105.0,80.0,1,False,3,1,0,0,6.56,0.53,0.0,1.15,0.57,2,1,8,0,0,0,1,1,0,0,2,0,182.88,195.58,205,2,0,0,4.35,0.53,0.0,0.0,0.0,1,4,15,0,0,0,0,3,0,0,3,1,193.04,208.28,205,32,26,-1,0,1,-1,-3,-7,0,-2,0,-10.159999999999997,-12.699999999999989,-6,2.21,0.0,1.15,2,275.0,400.0,1600.0,1600.0,300.0,165.0
40,-160.0,140,62.5,140.0,1,False,3,2,0,0,3.24,0.38,0.2,0.0,0.0,3,5,18,0,0,0,1,3,0,0,4,1,185.42,193.04,205,2,0,0,3.59,0.37,0.0,0.0,0.0,1,2,5,0,0,0,0,1,0,0,1,2,190.5,198.12,205,27,31,0,0,2,3,3,13,0,2,0,-5.079999999999983,-5.0800000000000125,4,-0.3499999999999996,0.2,0.0,2,275.0,650.0,1100.0,2800.0,165.0,225.0
54,-200.0,170,50.0,170.0,0,False,3,2,0,0,3.05,0.45,0.1,1.75,0.45,3,6,28,0,0,1,1,2,1,0,5,0,182.88,187.96,205,0,3,1,4.32,0.49,0.0,0.35,0.4,3,2,16,0,0,0,2,1,0,0,3,0,190.5,193.04,205,33,30,2,-3,0,2,4,12,0,1,1,-7.620000000000003,-5.079999999999983,-3,-1.2700000000000005,0.1,1.4,2,140.0,350.0,1600.0,1000.0,250.0,650.0
67,-170.0,150,58.82352941,150.0,0,False,3,2,0,0,2.01,0.47,0.0,0.0,0.0,0,2,3,0,0,0,0,0,0,0,0,1,185.42,187.96,205,1,0,0,3.55,0.72,0.3,2.36,0.53,3,1,10,0,0,0,1,2,0,0,3,0,177.8,185.42,205,33,26,1,0,-3,-3,1,-7,0,-2,0,7.62,2.54,-7,-1.54,-0.3,-2.36,2,350.0,450.0,1400.0,600.0,120.0,500.0
77,-290.0,230,34.48275862,230.0,0,False,3,0,3,0,3.28,0.48,1.1,2.08,0.48,3,11,55,0,0,1,3,4,5,0,13,0,185.42,195.58,205,0,1,0,4.13,0.54,0.3,0.56,0.25,4,2,10,0,0,0,0,4,1,0,5,0,182.88,193.04,205,33,40,0,2,-1,8,9,45,0,0,4,2.54,2.54,7,-0.85,0.8,1.52,2,500.0,500.0,1200.0,800.0,-135.0,700.0
130,-136.0,110,73.52941176,110.0,0,False,3,0,2,0,1.81,0.88,1.2,4.83,0.34,2,0,5,0,0,0,1,0,1,0,2,0,198.12,195.58,205,0,2,0,5.38,0.43,0.0,0.0,0.0,2,1,12,0,0,1,1,2,0,0,4,1,195.58,210.82,205,29,35,0,0,0,-2,-1,-7,0,-2,1,2.54,-15.24,6,-3.57,1.2,4.83,2,350.0,175.0,2000.0,350.0,850.0,260.0
133,-225.0,180,44.44444444,180.0,0,False,3,0,1,0,3.62,0.4,0.0,0.0,0.0,1,2,5,0,0,0,0,1,0,0,1,0,185.42,185.42,205,0,1,0,5.4,0.47,0.0,0.0,0.0,1,3,6,0,0,0,1,0,0,0,1,0,190.5,187.96,205,32,37,0,0,0,0,-1,-1,0,1,0,-5.08,-2.54,5,-1.78,0.0,0.0,2,225.0,180.0,1200.0,600.0,225.0,2000.0
