,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
3,-675.0,475,14.814814814814813,475.0,0,False,3,1,0,0,4.04,0.34,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,0,177.8,177.8,155,1,0,0,3.79,0.36,0.0,1.57,0.35,2,3,15,0,0,0,2,2,0,0,4,0,175.26,182.88,155,29,32,0,0,-2,-4,-2,-12,0,-2,0,2.5400000000000205,-5.079999999999983,3,0.25,0.0,-1.57,2,175.0,900.0,500.0,3500.0,110.0,1100.0
4,-135.0,115,74.07407407407408,115.0,1,False,3,0,2,0,5.22,0.56,0.0,2.54,0.39,2,3,19,0,0,0,4,1,0,0,5,0,175.26,172.72,145,0,4,0,2.64,0.62,0.6,2.85,0.52,4,0,8,0,0,0,2,0,2,0,4,0,175.26,177.8,155,28,33,0,-2,-2,1,3,11,0,1,-2,0.0,-5.0800000000000125,5,2.58,-0.6,-0.31,2,165.0,200.0,400.0,1200.0,900.0,600.0
7,-155.0,135,64.51612903225806,135.0,1,False,3,0,1,0,3.03,0.4,0.4,3.5,0.32,1,2,7,0,0,0,0,1,0,0,1,0,182.88,187.96,155,0,1,0,5.1,0.52,0.5,0.53,1.0,3,1,6,0,0,0,0,4,0,0,4,0,175.26,193.04,155,28,27,0,0,-2,-3,1,1,0,-3,0,7.620000000000003,-5.079999999999983,-1,-2.07,-0.0999999999999999,2.97,2,330.0,450.0,2000.0,900.0,140.0,330.0
17,-150.0,130,66.66666666666666,130.0,0,False,3,0,2,0,5.19,0.46,0.0,0.16,0.14,3,2,18,0,0,0,4,1,0,0,5,1,177.8,182.88,155,2,0,0,4.95,0.48,0.2,0.91,0.36,4,6,38,0,0,1,1,6,2,0,10,2,182.88,190.5,155,31,26,-2,2,-1,-5,-4,-20,0,-5,-2,-5.079999999999983,-7.620000000000003,-5,0.2400000000000002,-0.2,-0.75,0,225.0,350.0,900.0,2200.0,225.0,350.0
20,-115.0,-105,86.95652173913044,95.23809523809523,1,False,3,0,2,0,6.2,0.47,1.9,0.98,0.75,2,2,10,0,0,0,0,3,1,0,4,1,190.5,195.58,155,0,2,0,10.53,0.75,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,1,185.42,180.34,155,28,26,0,0,0,2,2,8,0,1,1,5.079999999999983,15.240000000000007,-2,-4.329999999999999,1.9,0.98,2,400.0,400.0,1200.0,700.0,165.0,300.0
27,-850.0,575,11.764705882352938,575.0,0,False,3,0,2,0,2.88,0.41,0.5,3.31,0.41,2,4,21,0,0,0,3,0,2,0,5,0,177.8,180.34,155,0,3,0,3.59,0.46,0.0,3.38,0.34,3,1,12,0,0,0,3,0,0,0,3,0,170.18,182.88,155,24,31,0,-1,-1,2,3,9,0,0,2,7.620000000000003,-2.5399999999999916,7,-0.71,0.5,-0.0699999999999998,0,-135.0,900.0,350.0,2800.0,330.0,2200.0
41,-145.0,125,68.96551724137932,125.0,0,False,3,1,0,0,2.82,0.4,0.6,1.11,0.15,1,2,6,0,0,0,0,1,0,0,1,0,172.72,185.42,155,0,0,0,10.64,0.58,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,177.8,185.42,155,26,25,1,0,1,1,2,6,0,1,0,-5.0800000000000125,0.0,-1,-7.82,0.6,1.11,2,300.0,380.0,275.0,800.0,350.0,400.0
59,150.0,-170,150.0,58.82352941,1,False,3,0,2,0,4.33,0.48,0.0,4.33,0.6,2,0,4,0,0,0,1,1,0,0,2,0,172.72,182.88,155,0,1,0,2.53,0.34,0.7,3.24,0.38,4,15,90,0,0,3,9,2,4,0,18,0,170.18,177.8,155,39,36,0,1,-2,-16,-15,-86,0,-1,-4,2.54,5.08,-3,1.8,-0.7,1.09,2,275.0,120.0,900.0,600.0,700.0,700.0
62,-140.0,120,71.42857143,120.0,0,False,3,0,1,0,3.67,0.47,0.0,1.35,0.61,1,3,15,0,0,0,2,1,0,0,3,0,177.8,180.34,155,0,2,0,3.42,0.45,0.3,3.29,0.54,4,2,19,0,0,0,5,1,0,0,6,0,177.8,182.88,155,38,29,0,-1,-3,-3,1,-4,0,0,0,0.0,-2.54,-9,0.25,-0.3,-1.94,2,140.0,180.0,1200.0,1000.0,700.0,550.0
68,-155.0,135,64.51612903,135.0,1,False,3,1,0,0,7.56,0.42,0.0,0.0,0.0,1,1,5,0,0,0,0,1,0,0,1,0,190.5,190.5,155,1,0,0,3.14,0.44,0.9,1.44,0.29,3,2,16,0,0,0,2,0,3,0,5,0,187.96,185.42,155,27,23,0,0,-2,-4,-1,-11,0,1,-3,2.54,5.08,-4,4.42,-0.9,-1.44,2,180.0,330.0,330.0,1600.0,800.0,350.0
75,235.0,-300,235.0,33.33333333,1,False,3,0,3,0,5.34,0.52,0.0,0.59,0.5,3,1,8,0,0,0,2,1,0,0,3,2,172.72,180.34,155,1,0,1,5.45,0.51,0.3,1.46,0.39,8,8,56,0,0,2,6,1,3,0,12,0,177.8,180.34,155,34,28,-1,3,-5,-9,-7,-48,0,0,-3,-5.08,0.0,-6,-0.11,-0.3,-0.87,2,400.0,120.0,2000.0,1400.0,1000.0,175.0
88,270.0,-350,270.0,28.57142857,0,False,3,1,0,0,4.13,0.34,0.5,2.5,0.33,0,1,3,0,0,0,0,0,0,0,0,0,170.18,177.8,155,1,0,0,6.93,0.56,0.0,0.0,0.0,2,3,12,0,0,0,1,2,0,0,3,0,172.72,172.72,155,35,26,0,0,-2,-3,-2,-9,0,-2,0,-2.54,5.08,-9,-2.8,0.5,2.5,2,450.0,165.0,1700.0,200.0,900.0,400.0
