,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
2,110.0,-130,110.0,76.92307692307693,1,False,3,1,0,0,2.92,0.41,0.1,1.15,0.34,5,5,38,0,0,2,6,1,0,0,9,1,185.42,195.58,185,1,0,0,3.77,0.49,1.7,4.48,0.44,4,4,13,0,0,0,0,1,5,0,6,0,190.5,195.58,205,34,32,0,0,1,3,1,25,0,0,-5,-5.079999999999983,0.0,-2,-0.8500000000000001,-1.6,-3.3300000000000005,2,550.0,275.0,275.0,1400.0,600.0,185.0
13,140.0,-160,140.0,62.5,1,False,3,4,0,0,3.73,0.46,0.0,0.66,0.64,5,14,91,5,0,3,4,12,0,0,19,1,180.34,187.96,170,2,0,0,5.71,0.42,1.0,1.28,0.32,11,7,70,2,0,1,2,10,6,0,19,1,185.42,193.04,170,38,39,2,0,-6,0,7,21,3,2,-6,-5.0800000000000125,-5.079999999999983,1,-1.98,-1.0,-0.62,2,275.0,225.0,800.0,2500.0,650.0,185.0
21,125.0,-145,125.0,68.96551724137932,1,False,3,0,1,0,1.7,0.49,0.0,3.0,0.3,1,0,3,0,0,0,1,0,0,0,1,1,182.88,193.04,185,1,0,0,2.7,0.61,0.9,0.86,0.25,0,1,1,0,0,0,0,0,0,0,0,0,182.88,182.88,185,27,23,-1,1,1,1,-1,2,0,0,0,0.0,10.159999999999997,-4,-1.0000000000000002,-0.9,2.14,2,350.0,300.0,500.0,250.0,400.0,500.0
29,-180.0,155,55.555555555555564,155.0,0,False,3,2,0,0,2.82,0.66,0.2,1.14,0.41,2,2,11,0,0,0,1,0,1,0,2,0,190.5,185.42,185,1,0,0,4.16,0.37,0.0,0.8,0.16,2,2,8,0,0,0,0,2,0,0,2,1,177.8,193.04,185,27,32,1,0,0,0,0,3,0,-2,1,12.699999999999989,-7.619999999999976,5,-1.3400000000000003,0.2,0.3399999999999998,2,380.0,600.0,1800.0,500.0,110.0,450.0
37,130.0,-150,130.0,66.66666666666666,0,False,5,1,0,1,2.26,0.46,0.0,0.5,0.41,4,3,29,1,0,1,3,2,0,0,6,1,182.88,187.96,185,0,4,0,3.45,0.47,0.5,3.15,0.34,5,6,44,0,0,0,7,7,2,0,16,1,185.42,195.58,185,37,28,1,-4,-1,-10,-3,-15,1,-5,-2,-2.5400000000000205,-7.620000000000003,-9,-1.1900000000000004,-0.5,-2.65,0,450.0,350.0,2000.0,1600.0,300.0,130.0
45,140.0,-160,140.0,62.5,1,False,3,0,1,0,5.8,0.46,0.0,0.35,0.25,1,3,14,0,0,0,0,1,0,0,1,0,185.42,187.96,185,0,1,0,2.97,0.43,0.0,2.05,0.46,1,1,9,0,0,0,1,1,0,0,2,0,172.72,193.04,185,34,31,0,0,0,-1,2,5,0,0,0,12.700000000000017,-5.079999999999983,-3,2.83,0.0,-1.6999999999999995,2,350.0,250.0,2200.0,800.0,350.0,175.0
47,-200.0,170,50.0,170.0,0,False,3,0,0,0,6.21,0.59,0.0,4.14,0.33,0,0,0,0,0,0,0,0,0,0,0,0,190.5,190.5,185,0,0,0,6.34,0.52,2.1,2.07,1.0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,195.58,185,26,25,0,0,0,0,0,0,0,0,0,5.079999999999983,-5.0800000000000125,-1,-0.1299999999999999,-2.1,2.07,2,175.0,350.0,400.0,700.0,350.0,800.0
50,-550.0,400,18.181818181818183,400.0,0,False,3,0,0,0,2.35,0.59,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,180.34,182.88,185,0,0,0,3.48,0.57,1.1,4.55,0.44,0,0,0,0,0,0,0,0,0,0,0,2,182.88,185.42,185,30,34,0,0,0,0,0,0,0,0,0,-2.5399999999999916,-2.5400000000000205,4,-1.13,-1.1,-4.55,2,500.0,1100.0,100.0,1800.0,225.0,800.0
51,-575.0,410,17.391304347826086,410.0,1,False,3,0,1,0,3.41,0.44,1.8,2.58,0.4,2,6,24,0,0,0,0,1,6,0,7,1,185.42,195.58,185,0,3,0,5.39,0.42,0.3,0.31,0.16,3,0,9,0,0,0,1,2,0,0,3,0,187.96,190.5,185,31,33,0,-2,-1,4,6,15,0,-1,6,-2.5399999999999916,5.0800000000000125,2,-1.9799999999999995,1.5,2.27,2,225.0,1200.0,1100.0,1000.0,-150.0,2000.0
52,-265.0,215,37.735849056603776,215.0,1,False,3,3,0,0,3.71,0.48,0.0,0.53,0.28,3,4,14,0,0,0,0,4,0,0,4,0,177.8,185.42,185,0,1,0,3.3,0.41,0.0,1.62,0.45,2,5,22,0,0,2,0,2,0,0,4,0,182.88,187.96,185,31,36,3,-1,1,0,-1,-8,0,2,0,-5.079999999999983,-2.5399999999999916,5,0.4100000000000001,0.0,-1.09,2,175.0,700.0,650.0,3500.0,175.0,350.0
53,-105.0,-115,95.23809523809523,86.95652173913044,1,False,3,2,0,0,3.04,0.47,0.6,2.22,0.22,1,3,8,0,0,0,1,0,0,0,1,0,182.88,182.88,185,5,0,1,3.29,0.44,0.1,0.07,0.16,4,10,46,0,0,2,2,5,1,0,10,1,187.96,190.5,185,35,25,-3,0,-3,-9,-7,-38,0,-5,-1,-5.0800000000000125,-7.620000000000003,-10,-0.25,0.5,2.1500000000000004,2,350.0,250.0,2000.0,450.0,240.0,400.0
58,-145.0,125,68.96551724,125.0,0,False,5,1,0,0,3.53,0.41,0.1,1.05,0.32,5,7,52,1,0,3,3,3,2,0,11,1,175.26,180.34,185,1,0,0,3.6,0.49,0.0,0.12,0.33,3,5,23,0,0,0,1,5,0,0,6,2,180.34,195.58,185,37,29,0,0,2,5,2,29,1,-2,2,-5.08,-15.24,-8,-0.07,0.1,0.93,0,300.0,240.0,1000.0,1100.0,175.0,600.0
83,175.0,-210,175.0,47.61904762,1,False,5,0,4,0,5.45,0.4,0.3,1.32,0.61,4,3,33,0,0,2,4,3,1,0,10,0,185.42,193.04,185,0,4,0,3.47,0.49,0.2,0.58,0.38,4,7,37,0,0,1,1,8,0,0,10,0,182.88,200.66,185,37,30,0,0,0,0,-4,-4,0,-5,1,2.54,-7.62,-7,1.98,0.1,0.74,0,650.0,225.0,2500.0,800.0,275.0,165.0
97,-110.0,-110,90.90909091,90.90909091,1,False,3,0,1,0,4.1,0.52,1.6,1.29,0.45,4,1,10,0,0,0,1,1,3,0,5,0,187.96,190.5,185,0,3,0,4.44,0.43,0.0,1.58,0.66,3,0,5,0,0,0,1,2,0,0,3,1,180.34,182.88,185,28,25,0,-2,1,2,1,5,0,-1,3,7.62,7.62,-3,-0.34,1.6,-0.29,2,500.0,500.0,1400.0,200.0,140.0,1000.0
98,135.0,-155,135.0,64.51612903,0,False,3,1,0,0,3.25,0.5,0.7,1.02,0.17,3,3,17,0,0,0,2,2,0,0,4,0,180.34,182.88,185,1,0,0,4.3,0.54,1.6,0.79,0.22,1,1,6,0,0,0,1,0,0,0,1,0,190.5,190.5,185,26,32,0,0,2,3,2,11,0,2,0,-10.16,-7.62,6,-1.05,-0.9,0.23,2,275.0,120.0,1100.0,800.0,550.0,550.0
106,-210.0,175,47.61904762,175.0,0,False,3,1,0,0,3.68,0.41,0.5,0.48,0.09,1,1,4,0,0,0,0,1,0,0,1,0,182.88,190.5,185,1,0,0,2.6,0.49,1.4,5.77,0.52,2,1,5,0,0,0,0,0,2,0,2,0,182.88,185.42,185,31,29,0,0,-1,-1,0,-1,0,1,-2,0.0,5.08,-2,1.08,-0.9,-5.29,2,400.0,400.0,-110.0,1400.0,800.0,500.0
121,-106.0,-118,94.33962264,84.74576271,1,False,3,0,1,0,5.07,0.48,0.0,2.99,0.5,1,0,1,0,0,0,0,1,0,0,1,2,185.42,193.04,185,0,3,0,3.14,0.54,0.3,1.27,0.8,3,2,20,0,0,1,1,3,0,0,5,0,182.88,187.96,185,28,27,0,-2,-2,-4,-2,-19,0,-2,0,2.54,5.08,-1,1.93,-0.3,1.72,2,210.0,450.0,1000.0,425.0,450.0,300.0
123,130.0,-162,130.0,61.72839506,1,False,3,0,1,0,3.18,0.42,0.0,0.91,0.27,5,6,52,0,0,2,9,2,0,0,13,0,185.42,187.96,185,0,1,1,2.97,0.34,0.2,2.58,0.45,3,4,35,0,0,1,5,2,1,0,9,0,182.88,185.42,185,33,33,0,0,2,4,2,17,0,0,-1,2.54,2.54,0,0.21,-0.2,-1.67,0,250.0,130.0,750.0,1200.0,650.0,400.0
141,100.0,-125,100.0,80.0,1,False,3,0,0,0,4.0,0.73,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,182.88,187.96,185,1,0,0,2.44,0.42,0.8,2.31,0.22,1,2,7,0,0,0,1,0,0,0,1,0,182.88,182.88,185,24,31,-1,0,-1,-1,-2,-7,0,0,0,0.0,5.08,7,1.56,-0.8,-2.31,2,350.0,350.0,375.0,1000.0,650.0,185.0
149,-235.0,185,42.55319149,185.0,0,True,5,0,5,1,3.88,0.43,0.7,2.24,0.47,5,2,30,0,0,0,5,0,2,0,7,1,182.88,187.96,185,1,0,0,3.94,0.5,0.2,0.0,0.0,9,1,33,5,0,1,4,4,0,0,9,2,193.04,203.2,185,31,27,-1,5,-4,-2,1,-3,-5,-4,2,-10.16,-15.24,-4,-0.06,0.5,2.24,0,160.0,375.0,1800.0,900.0,150.0,850.0
165,-150.0,120,66.66666667,120.0,0,False,3,2,0,0,3.64,0.33,0.0,0.8,0.4,2,2,12,0,0,0,2,0,0,0,2,0,185.42,180.34,185,1,0,0,2.36,0.48,1.5,2.74,0.52,2,1,7,0,0,1,0,1,0,0,2,0,187.96,193.04,205,32,28,1,0,0,0,1,5,0,-1,0,-2.54,-12.7,-4,1.28,-1.5,-1.94,2,200.0,260.0,450.0,850.0,435.0,500.0
167,-177.0,140,56.49717514,140.0,1,False,3,1,0,0,4.91,0.48,0.0,2.6,0.5,0,1,1,0,0,0,0,0,0,0,0,0,190.5,190.5,185,1,0,0,5.71,0.54,0.0,0.35,0.05,2,1,6,0,0,0,1,1,0,0,2,0,185.42,187.96,185,27,29,0,0,-2,-2,0,-5,0,-1,0,5.08,2.54,2,-0.8,0.0,2.25,2,450.0,575.0,1200.0,650.0,155.0,225.0
180,-132.0,112,75.75757576,112.0,0,False,3,1,0,0,3.46,0.49,0.7,2.97,0.4,5,1,10,0,0,1,0,3,1,0,5,0,187.96,187.96,185,1,0,0,4.86,0.45,0.6,2.09,0.36,4,4,26,0,0,0,2,3,3,0,8,0,185.42,195.58,185,32,23,0,0,1,-3,-3,-16,0,0,-2,2.54,-7.62,-9,-1.4,0.1,0.88,0,400.0,525.0,185.0,1100.0,450.0,250.0
