,R_odds,B_odds,R_ev,B_ev,Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
1,170.0,-200,170.0,50.0,1,False,3,2,0,0,5.16,0.42,0.8,0.79,0.22,2,5,24,0,0,0,0,4,2,0,6,0,182.88,193.04,170,2,0,0,2.97,0.51,0.5,2.27,0.37,4,8,44,0,0,1,3,4,3,0,11,0,180.34,193.04,170,33,32,0,0,-2,-5,-3,-20,0,0,-1,2.5399999999999916,0.0,-1,2.19,0.3,-1.48,2,450.0,350.0,700.0,1100.0,550.0,120.0
35,-105.0,-115,95.23809523809523,86.95652173913044,1,False,3,0,1,0,5.27,0.49,2.7,0.0,0.0,1,0,1,0,0,0,0,0,1,0,1,0,182.88,193.04,170,0,1,0,4.96,0.48,0.2,1.75,0.58,3,1,13,0,0,0,3,0,1,0,4,0,180.34,190.5,170,27,34,0,0,-2,-3,-1,-12,0,0,0,2.5399999999999916,2.5399999999999916,7,0.3099999999999996,2.5,-1.75,2,175.0,400.0,1100.0,250.0,450.0,600.0
39,-125.0,105,80.0,105.0,0,False,3,1,0,0,3.84,0.41,1.7,0.97,0.33,1,3,10,0,0,0,0,0,1,0,1,0,182.88,190.5,170,0,1,0,5.14,0.42,0.4,0.38,0.25,3,4,30,0,0,1,4,2,1,0,8,0,180.34,182.88,170,31,31,1,-1,-2,-7,-1,-20,0,-2,0,2.5399999999999916,7.620000000000003,0,-1.2999999999999998,1.2999999999999998,0.59,2,180.0,250.0,600.0,650.0,500.0,500.0
49,-145.0,125,68.96551724137932,125.0,1,False,3,0,2,0,8.06,0.5,0.2,0.84,0.55,4,1,16,0,0,0,3,2,1,0,6,1,185.42,187.96,170,1,0,0,3.89,0.42,0.8,3.19,0.43,5,6,44,1,0,1,3,3,4,0,11,0,175.26,195.58,170,28,34,-1,2,-1,-5,-5,-28,-1,-1,-3,10.160000000000023,-7.620000000000003,6,4.17,-0.6000000000000001,-2.35,2,215.0,330.0,300.0,1600.0,700.0,330.0
69,145.0,-165,145.0,60.60606061,1,False,3,1,0,0,3.15,0.36,1.0,2.05,1.0,0,1,3,0,0,0,0,0,0,0,0,0,177.8,182.88,170,1,0,0,6.69,0.53,0.0,0.72,1.0,1,1,5,0,0,0,0,1,0,0,1,2,185.42,182.88,170,32,28,0,0,-1,-1,0,-2,0,-1,0,-7.62,0.0,-4,-3.54,1.0,1.33,2,330.0,330.0,1400.0,175.0,300.0,1100.0
72,-115.0,-105,86.95652174,95.23809524,1,False,3,0,3,0,5.65,0.54,1.0,0.64,0.5,6,3,31,0,0,1,0,8,4,0,13,0,180.34,190.5,170,0,4,0,1.87,0.4,1.1,3.62,0.53,4,4,35,0,0,0,5,0,6,0,11,1,185.42,190.5,170,33,29,0,-1,2,2,-1,-4,0,8,-2,-5.08,0.0,-4,3.78,-0.1,-2.98,0,225.0,300.0,350.0,650.0,900.0,300.0
85,-180.0,155,55.55555556,155.0,1,False,3,2,0,0,5.04,0.42,0.0,0.96,1.0,0,2,6,0,0,0,0,0,0,0,0,0,182.88,195.58,170,1,0,0,2.29,0.43,0.0,0.93,1.0,0,1,3,0,0,0,0,0,0,0,0,2,182.88,190.5,170,28,27,1,0,0,0,1,3,0,0,0,0.0,5.08,-1,2.75,0.0,0.03,2,180.0,300.0,600.0,1200.0,300.0,600.0
87,-265.0,215,37.73584906,215.0,1,False,3,1,0,0,2.63,0.49,1.3,6.46,0.45,1,2,4,0,0,0,0,0,1,0,1,0,177.8,177.8,170,0,1,0,5.26,0.48,0.4,0.21,0.25,2,5,28,0,0,0,2,3,1,0,6,1,182.88,182.88,170,32,34,1,-1,-1,-5,-3,-24,0,-3,0,-5.08,-5.08,2,-2.63,0.9,6.25,2,300.0,500.0,550.0,750.0,120.0,850.0
91,145.0,-165,145.0,60.60606061,0,False,3,0,1,0,3.7,0.55,0.0,1.87,0.42,1,0,3,0,0,0,0,1,0,0,1,2,180.34,180.34,170,1,0,0,4.97,0.56,0.0,0.87,0.33,1,1,6,0,0,0,0,1,0,0,1,0,190.5,203.2,170,31,27,-1,1,0,0,-1,-3,0,0,0,-10.16,-22.86,-4,-1.27,0.0,1.0,2,380.0,300.0,650.0,800.0,450.0,175.0
99,150.0,-170,150.0,58.82352941,0,False,3,1,0,0,5.97,0.5,0.0,1.23,0.57,1,2,10,0,0,0,0,1,0,0,1,1,185.42,190.5,185,1,0,0,2.6,0.46,2.4,1.32,0.28,3,3,16,0,0,0,1,0,4,0,5,2,187.96,187.96,170,29,30,0,0,-2,-4,-1,-6,0,1,-4,-2.54,2.54,1,3.37,-2.4,-0.09,2,400.0,215.0,350.0,1400.0,1100.0,175.0
